url,lat,long,restaurant,grocery,cafe,park,school,hospital,parking
https://www.realtor.com/realestateandhomes-detail/M9059837344?listing_status=rental,47.610973,-122.321686,20,6,20,20,20,20,20
https://www.realtor.com/realestateandhomes-detail/M2794241565?listing_status=rental,47.66739,-122.31223,20,4,20,20,19,3,20
https://www.realtor.com/realestateandhomes-detail/M9010687177?listing_status=rental,47.733704,-122.306961,6,0,4,4,8,0,2
https://www.realtor.com/realestateandhomes-detail/M2866385984?listing_status=rental,47.550207,-122.274576,20,1,10,11,17,1,4
https://www.realtor.com/realestateandhomes-detail/M9970400854?listing_status=rental,47.55991,-122.386436,20,3,20,11,16,4,20
https://www.realtor.com/realestateandhomes-detail/M9912366247?listing_status=rental,47.622948,-122.317612,20,3,20,20,20,4,20
https://www.realtor.com/realestateandhomes-detail/M2033433747?listing_status=rental,47.617198,-122.330597,20,4,20,20,20,20,20
https://www.realtor.com/realestateandhomes-detail/M9906815293?listing_status=rental,,,0,0,0,0,0,0,0
https://www.realtor.com/realestateandhomes-detail/M2216305462?listing_status=rental,47.719028,-122.290352,20,1,2,13,18,0,2
https://www.realtor.com/realestateandhomes-detail/M2225445004?listing_status=rental,47.589551,-122.317016,20,2,5,18,13,1,20
https://www.realtor.com/realestateandhomes-detail/M9471765590?listing_status=rental,47.6693,-122.333969,20,0,11,19,17,0,7
https://www.realtor.com/realestateandhomes-detail/M1718047156?listing_status=rental,47.69829,-122.340489,19,2,4,10,20,2,7
https://www.realtor.com/realestateandhomes-detail/M1161068726?listing_status=rental,47.605484,-122.337425,20,5,20,20,20,20,20
https://www.realtor.com/realestateandhomes-detail/M2066983919?listing_status=rental,47.56964,-122.285792,20,2,2,20,17,0,2
https://www.realtor.com/realestateandhomes-detail/M2228749352?listing_status=rental,47.611273,-122.324281,20,5,20,20,20,20,20
https://www.realtor.com/realestateandhomes-detail/M9407137554?listing_status=rental,47.625038,-122.357674,20,1,20,20,18,2,20
https://www.realtor.com/realestateandhomes-detail/M9279302629?listing_status=rental,47.618809,-122.342842,20,4,20,20,17,7,20
https://www.realtor.com/realestateandhomes-detail/M2576486514?listing_status=rental,47.599419,-122.334583,20,4,20,20,20,18,20
https://www.realtor.com/realestateandhomes-detail/M1296614803?listing_status=rental,47.670455,-122.31338,20,3,20,20,20,2,20
https://www.realtor.com/realestateandhomes-detail/M9685716998?listing_status=rental,47.522545,-122.353058,20,1,8,9,13,2,7
https://www.realtor.com/realestateandhomes-detail/M1687398623?listing_status=rental,47.662968,-122.357532,20,1,10,17,12,0,3
https://www.realtor.com/realestateandhomes-detail/M9882567585?listing_status=rental,47.638988,-122.328026,20,2,6,20,19,2,20
https://www.realtor.com/realestateandhomes-detail/M1711042624?listing_status=rental,47.621367,-122.358418,20,1,20,20,10,2,20
https://www.realtor.com/realestateandhomes-detail/M9851645569?listing_status=rental,47.5050929,-122.2288861,2,0,1,0,4,0,0
https://www.realtor.com/realestateandhomes-detail/M9228286965?listing_status=rental,47.526157,-122.364189,12,1,4,10,10,3,0
https://www.realtor.com/realestateandhomes-detail/M9672342016?listing_status=rental,47.616398,-122.327599,20,4,20,20,20,20,20
https://www.realtor.com/realestateandhomes-detail/M1029026108?listing_status=rental,47.622967,-122.327509,20,1,20,20,13,4,20
https://www.realtor.com/realestateandhomes-detail/M9428341255?listing_status=rental,47.616131,-122.32589,20,4,20,20,20,20,20
https://www.realtor.com/realestateandhomes-detail/M9347340514?listing_status=rental,47.69585,-122.343269,20,1,5,8,20,0,8
https://www.realtor.com/realestateandhomes-detail/M9333089019?listing_status=rental,47.625751,-122.344574,20,1,20,20,16,5,20
https://www.realtor.com/realestateandhomes-detail/M2245467852?listing_status=rental,47.555425,-122.381149,20,3,19,13,12,4,18
https://www.realtor.com/realestateandhomes-detail/M1518948706?listing_status=rental,47.63738,-122.386516,20,1,3,13,10,0,6
https://www.realtor.com/realestateandhomes-detail/M9642458041?listing_status=rental,47.599865,-122.302963,20,4,16,20,20,8,9
https://www.realtor.com/realestateandhomes-detail/M2042466382?listing_status=rental,47.698461,-122.349754,20,2,6,10,20,0,10
https://www.realtor.com/realestateandhomes-detail/M2216529057?listing_status=rental,47.719028,-122.290352,20,1,2,13,18,0,2
https://www.realtor.com/realestateandhomes-detail/M9703056625?listing_status=rental,47.721687,-122.355118,20,5,7,3,4,0,1
https://www.realtor.com/realestateandhomes-detail/M1684161041?listing_status=rental,47.668927,-122.365333,20,3,20,14,18,2,7
https://www.realtor.com/realestateandhomes-detail/M2958531697?listing_status=rental,47.560535,-122.36237,16,0,2,18,5,0,4
https://www.realtor.com/realestateandhomes-detail/M9789494898?listing_status=rental,47.616398,-122.327599,20,4,20,20,20,20,20
https://www.realtor.com/realestateandhomes-detail/M9888537678?listing_status=rental,47.666203,-122.368324,20,4,19,15,18,10,10
https://www.realtor.com/realestateandhomes-detail/M2216491791?listing_status=rental,47.719028,-122.290352,20,1,2,13,18,0,2
https://www.realtor.com/realestateandhomes-detail/M9623801772?listing_status=rental,47.54731,-122.386757,14,1,5,7,11,0,1
https://www.realtor.com/realestateandhomes-detail/M1085593790?listing_status=rental,47.631972,-122.361464,20,4,16,20,20,1,20
https://www.realtor.com/realestateandhomes-detail/M9777162676?listing_status=rental,47.497723,-122.244217,8,1,1,5,5,0,2
